Submercado
Nome;DC201804-sem3;DC201804-sem4;DC201805-sem1;DC201805-sem2;DC201805-sem3;DC201805-sem4;DC201806-sem0;DC201806-sem1;DC201806-sem2;DC201806-sem3(3 dias); ;DC201804-sem3@14/04/2018;DC201804-sem3@15/04/2018;DC201804-sem3@16/04/2018;DC201804-sem3@17/04/2018;DC201804-sem3@18/04/2018;DC201804-sem3@19/04/2018;DC201804-sem3@20/04/2018;DC201804-sem4@21/04/2018;DC201804-sem4@22/04/2018;DC201804-sem4@23/04/2018;DC201804-sem4@24/04/2018;DC201804-sem4@25/04/2018;DC201804-sem4@26/04/2018;DC201804-sem4@27/04/2018;DC201805-sem1@28/04/2018;DC201805-sem1@29/04/2018;DC201805-sem1@30/04/2018;DC201805-sem1@01/05/2018;DC201805-sem1@02/05/2018;DC201805-sem1@03/05/2018;DC201805-sem1@04/05/2018;DC201805-sem2@05/05/2018;DC201805-sem2@06/05/2018;DC201805-sem2@07/05/2018;DC201805-sem2@08/05/2018;DC201805-sem2@09/05/2018;DC201805-sem2@10/05/2018;DC201805-sem2@11/05/2018;DC201805-sem3@12/05/2018;DC201805-sem3@13/05/2018;DC201805-sem3@14/05/2018;DC201805-sem3@15/05/2018;DC201805-sem3@16/05/2018;DC201805-sem3@17/05/2018;DC201805-sem3@18/05/2018;DC201805-sem4@19/05/2018;DC201805-sem4@20/05/2018;DC201805-sem4@21/05/2018;DC201805-sem4@22/05/2018;DC201805-sem4@23/05/2018;DC201805-sem4@24/05/2018;DC201805-sem4@25/05/2018;DC201806-sem0@26/05/2018;DC201806-sem0@27/05/2018;DC201806-sem0@28/05/2018;DC201806-sem0@29/05/2018;DC201806-sem0@30/05/2018;DC201806-sem0@31/05/2018;DC201806-sem0@01/06/2018;DC201806-sem1@02/06/2018;DC201806-sem1@03/06/2018;DC201806-sem1@04/06/2018;DC201806-sem1@05/06/2018;DC201806-sem1@06/06/2018;DC201806-sem1@07/06/2018;DC201806-sem1@08/06/2018;DC201806-sem2@09/06/2018;DC201806-sem2@10/06/2018;DC201806-sem2@11/06/2018;DC201806-sem2@12/06/2018;DC201806-sem2@13/06/2018;DC201806-sem2@14/06/2018;DC201806-sem2@15/06/2018;DC201806-sem3@16/06/2018;DC201806-sem3@17/06/2018;DC201806-sem3@18/06/2018; ;Nome;DC201804-sem3;DC201804-sem4;DC201805-sem1;DC201805-sem2;DC201805-sem3;DC201805-sem4;DC201806-sem0;DC201806-sem1;DC201806-sem2;DC201806-sem3(3 dias); ;DC201804-sem3@14/04/2018;DC201804-sem3@15/04/2018;DC201804-sem3@16/04/2018;DC201804-sem3@17/04/2018;DC201804-sem3@18/04/2018;DC201804-sem3@19/04/2018;DC201804-sem3@20/04/2018;DC201804-sem4@21/04/2018;DC201804-sem4@22/04/2018;DC201804-sem4@23/04/2018;DC201804-sem4@24/04/2018;DC201804-sem4@25/04/2018;DC201804-sem4@26/04/2018;DC201804-sem4@27/04/2018;DC201805-sem1@28/04/2018;DC201805-sem1@29/04/2018;DC201805-sem1@30/04/2018;DC201805-sem1@01/05/2018;DC201805-sem1@02/05/2018;DC201805-sem1@03/05/2018;DC201805-sem1@04/05/2018;DC201805-sem2@05/05/2018;DC201805-sem2@06/05/2018;DC201805-sem2@07/05/2018;DC201805-sem2@08/05/2018;DC201805-sem2@09/05/2018;DC201805-sem2@10/05/2018;DC201805-sem2@11/05/2018;DC201805-sem3@12/05/2018;DC201805-sem3@13/05/2018;DC201805-sem3@14/05/2018;DC201805-sem3@15/05/2018;DC201805-sem3@16/05/2018;DC201805-sem3@17/05/2018;DC201805-sem3@18/05/2018;DC201805-sem4@19/05/2018;DC201805-sem4@20/05/2018;DC201805-sem4@21/05/2018;DC201805-sem4@22/05/2018;DC201805-sem4@23/05/2018;DC201805-sem4@24/05/2018;DC201805-sem4@25/05/2018;DC201806-sem0@26/05/2018;DC201806-sem0@27/05/2018;DC201806-sem0@28/05/2018;DC201806-sem0@29/05/2018;DC201806-sem0@30/05/2018;DC201806-sem0@31/05/2018;DC201806-sem0@01/06/2018;DC201806-sem1@02/06/2018;DC201806-sem1@03/06/2018;DC201806-sem1@04/06/2018;DC201806-sem1@05/06/2018;DC201806-sem1@06/06/2018;DC201806-sem1@07/06/2018;DC201806-sem1@08/06/2018;DC201806-sem2@09/06/2018;DC201806-sem2@10/06/2018;DC201806-sem2@11/06/2018;DC201806-sem2@12/06/2018;DC201806-sem2@13/06/2018;DC201806-sem2@14/06/2018;DC201806-sem2@15/06/2018;DC201806-sem3@16/06/2018;DC201806-sem3@17/06/2018;DC201806-sem3@18/06/2018
SIN;86,687761112919;85,0785196673181;91,1617594825314;110,657834744712;97,3776038893363;87,844057557157;88,2782634105747;101,98195099066;100,196833308033;98,6814049593517; ;88,1969943062696;87,4769416012587;85,9564544761774;84,9524118499862;83,6699113361606;87,6655593318228;88,8957476050655;88,3738055121451;87,0760958689636;86,2776982376872;85,2827794748622;83,9355931261333;83,3880666714675;81,2157751229768;78,8861954510124;77,6389854016695;78,3673790779819;102,698805665687;101,951823110064;102,344350336039;106,556345674737;112,533655447612;115,516814285322;115,219306407028;112,902651497175;109,438611444267;106,119970219834;102,647355728159;99,9619105462936;98,5057169180623;98,013635612442;97,6349991473721;97,4892779558383;96,163756351321;93,8739864266347;92,1630753134752;90,5314055606797;88,1403096816629;86,741716155079;86,0934929712587;85,7398329241773;85,4986151036214;88,2267886407979;87,4954277631784;86,0357674818813;85,4963171798169;85,4195454424577;84,632851886554;103,622633544016;102,336874441896;102,12148191813;101,944060776384;102,213597467705;102,299235263227;101,289415923116;101,668835029978;99,6957822825572;97,5867543374002;101,08296971576;100,043922871477;100,550389162826;101,847689013364;100,570236489104;99,3956914886534;99,2333241810902;102,011255351823; ;SIN;74024,5002641192;72650,3351883856;66698,593021101;70815,3159114154;62316,652029463;56215,6733068365;54925,4038290672;52582,238221851;51661,8255181313;50880,4655454649; ;75313,266192383;74698,398061427;73400,022164447;72542,649074019;71447,494943775;74859,4627038484;75909,9463129354;75464,248995353;74356,1074700539;73674,338960768;72824,7569289332;71674,36620541;71206,8218638827;69351,8564772979;67362,5794579273;66297,560596652;66919,551258221;65721,9471510422;65243,9167813097;65495,1139927443;68190,574112811;72015,7445658841;73924,8126042545;73734,4228823147;72251,8830361534;70035,0757830342;67911,3162928276;65689,0218404388;63970,4752110443;63038,5862756671;62723,679579797;62481,371740037;62388,1176813681;61539,8521122121;60074,5172721152;58979,6222630608;57935,4376441057;56405,2594110172;55510,2315745771;55095,402117185;54869,077898777;54714,710915133;56460,6014916296;55992,5681913815;55058,4607765575;54713,2403622296;54664,1104036804;54160,6670386866;53428,1796853057;52765,2379515296;52654,180839111;52562,7018994528;52701,675927454;52745,8310639383;52225,1648030268;52420,7945754439;51403,4819178475;50316,0599892462;52118,7204415519;51582,9843808172;51844,1201104671;52513,0122930885;51854,3534589006;51248,7540914042;51165,0369594726;52597,3476493979
SUDESTE;86,8271490209175;88,6462232521562;96,2592754019721;109,82465025384;102,412262046674;93,711139595598;96,5336976560225;111,969632773623;114,306779051027;114,072558161479; ;88,1254599483285;87,6808785283279;86,0527407218001;85,2464975764681;83,8834370118777;87,3948345489195;89,4056764401504;91,0125984149123;91,4903906087982;90,8359240160065;88,455251463954;86,5591035820004;86,8348328936379;85,3358402000786;83,4740665052943;79,5525939753606;81,9928815538876;111,348484207805;111,076881948384;111,09151032441;111,425145655238;111,427948887221;110,99097655792;110,509273455505;109,876890191819;109,426841661882;108,823007229301;107,71719875921;106,730939407091;105,378378122716;104,206154595866;102,244812239885;100,751912070583;99,5835433800424;97,9903571619502;96,9400224814326;96,1536187460108;94,3142167464266;93,2295639530885;92,5293635814257;91,8061717289135;91,0050143877527;93,8140792248888;93,5685708865849;93,9096899463113;94,2496786857906;94,6657990393186;94,7416652874674;113,860184554244;113,548146551445;113,022893314636;112,471471434849;111,798210006709;111,165987705292;110,277775408416;111,502613011147;110,334289888442;109,092782149993;116,859453996011;115,881546280271;115,284527670553;116,819019450615;115,875514208162;115,01401152018;113,503053603765;113,700822742587; ;SUDESTE;43951,3714522364;44872,1756953552;41221,2722110646;40608,7679494431;37867,9629301668;34650,635475003;34789,6907216911;34057,0517725473;34767,9258711565;34696,6844750391; ;44608,568498029;44383,524104063;43559,370710602;43151,255364643;42461,282448778;44238,7303922756;45256,6062512643;46070,0203205263;46311,8758049831;45980,5888210475;44775,5069449146;43815,6884914947;43955,2609815822;43196,4800539378;42254,061603693;40269,0362084524;41504,2948461428;41172,2208654051;41071,7932009248;41077,2021899462;41200,5672058879;41201,6037290803;41040,0288196235;40861,9142573528;40628,0841914177;40461,6742253859;40238,4003766106;39829,5165836309;39464,8372782511;38964,7141528178;38531,2727252629;37806,0466815709;37254,0318433104;36822,0157802146;36232,9191677399;35844,5473658556;35553,7666828986;34873,6293112411;34472,5680423131;34213,6619192774;33946,2544651793;33650,0184882561;34688,6984372707;34597,919262315;34724,0514622132;34849,7657148425;35003,6303967368;35031,6827042939;34632,0882201658;34537,1777149415;34377,4149628759;34209,6926702932;34004,9112599533;33812,6124453752;33542,4508718271;33915,0015055647;33559,6405019479;33182,0194249022;35544,355878171;35246,9122510131;35065,3211070868;35532,0571738539;35245,0775161207;34983,0400250617;34523,4620956643;34583,6162073913
SUL;83,1593868626322;63,941496901268;45,443537268878;110,742667829231;60,5665106442959;41,9979029383895;38,444188689073;31,7432621762564;32,2511808088163;41,7506146858306; ;79,674249690021;80,3500252023936;78,7925905623771;75,7289140549355;70,8425685531397;98,0698874236991;98,6574725518597;81,5816035504932;67,2176938064009;61,4450216429877;63,7725974571006;66,6093243174329;60,6536098519505;46,3100108936119;35,137897622215;51,7406598245402;52,0924763471099;31,5734971733651;28,9297597529843;43,6193931338526;75,4586229571605;110,994540377239;136,60194503882;138,732486964945;127,131621132658;105,943265122891;86,514573973313;67,6002587396624;54,424332271251;51,4794579444969;55,3278669081046;63,2902510690346;70,7906540582404;68,3510505079054;60,3012486850556;54,4503233377293;47,7176523353143;39,8479890848547;35,6680404055099;35,7241748320793;38,1850556637021;42,392441442528;52,4096544687644;49,9467339211445;39,7392108921453;36,375796195808;36,1644131068001;31,920629578047;25,2626795291356;22,267869727515;24,9734717691452;28,1293102863814;33,4648689277437;37,7923977733082;37,6461909452535;37,9289229622679;35,3676904618242;30,844598495985;27,5414512909682;26,7899454519809;33,2336772836449;36,8571478969941;35,1242476748681;33,3492064299081;38,6465288360375;53,256010212636; ;SUL;5523,56531017986;4247,08559658129;3531,50907061786;9543,7990160444;5219,61964636452;3619,377721308;3410,41824885587;3298,01263245146;3350,78358135832;4337,74115218304; ;5292,077518914;5336,963494129;5233,516459765;5030,022688147;4705,46463733;6513,94206455122;6552,9703084228;5418,76668793523;4464,6952767056;4081,26614246317;4235,86705414239;4424,28650588834;4028,69944037503;3075,97710055927;2333,90937212322;3436,68856294885;3460,05671912374;2721,00281818121;2493,16562511108;3759,11768635787;6503,02133447904;9565,50538291246;11772,3505691735;11955,9605935369;10956,1984053425;9130,18666838992;7455,82278398088;5825,78779697453;4690,28694143612;4436,4977809168;4768,15352300938;5454,35149539011;6100,73594748496;5890,49100378242;5196,75938053189;4692,52685058355;4112,30551270425;3434,09822495718;3073,87040242935;3078,70806523412;3290,78668425079;3653,37903499673;4516,6620829609;4304,40768129508;3424,72372433428;3134,86477025027;3116,64778346075;2750,9186759728;2624,70302371701;2313,55288096571;2594,65536067107;2922,53581725523;3476,8814828863;3926,4964191434;3911,30604698827;3940,68090325019;3674,57790809468;3204,64465554336;2861,45934747693;2783,38054963381;3452,86148902047;3829,32726590843;3649,28506383052;3464,8645585751;4015,23761464527;5533,11104132875
NORDESTE;37,1692200536706;42,9859891070997;52,3714183030726;70,0024490654967;68,8335759166134;69,416921840672;72,7007644502979;102,677842782308;103,190618060903;87,3358381808754; ;38,3138789009741;35,5112067751832;35,1433837145284;35,1001052926642;37,3667294373095;38,0791376664311;40,6700985886029;41,7618456298767;40,4108800668894;42,3054491250431;45,8645042995238;44,0617931330564;43,5428864929124;42,9545650023952;41,6677475902267;41,2503227088537;39,2743555885219;65,7798497879962;66,563728736361;55,6631257666;56,3529896589506;69,8512943590646;70,5490691330797;70,4030803456078;70,2961060367558;69,8748286443279;69,5246815953023;69,5180833443374;69,1993069395794;69,205708678974;68,9429399835397;68,7876555234572;68,6133118385995;68,4933620228698;68,5927464292738;68,7309048942053;68,8709876551594;69,2280753119938;69,5136067816145;69,8122014895403;70,010627454211;69,752049297978;70,1023501237895;69,787932632603;69,3286004748147;69,0302518168003;68,7575558659919;68,6024515139217;103,937939682587;103,633902669877;103,080837876551;102,432010472536;102,516787135905;102,454820657629;102,21956189529;102,406978768365;102,837385996494;102,9896085777;102,966632196237;103,264789364631;103,312210602014;103,573283489785;103,390416199464;103,625838933853;103,814315333882;104,279180449601; ;NORDESTE;4435,09463598572;5129,16142539859;4841,81920930715;5061,10349486144;4976,59519468286;5018,77049189573;5000,38126153;4894,49772189;4918,94094512999;4163,16752896668; ;4571,677279;4237,257668;4193,368394;4188,204339;4458,661792;4543,66755513;4852,82542477;4983,09454098;4821,89502931;5047,95823578;5472,63076027;5257,52819387;5195,61136987;5125,41184771;4971,86660264;4922,05875492;4686,28299305;4755,81400505;4812,48762916;4024,38549098;4074,26192535;5050,17516845;5100,62355125;5090,06871535;5082,33458525;5051,87667254;5026,5614089;5026,08436229;5003,03716326;5003,50000229;4984,50210178;4973,27519852;4960,67033334;4951,99808773;4959,18347586;4969,17218767;4979,30002406;5005,11708635;5025,76071151;5047,34879507;5061,69478377;5042,99985484;5068,32623638;5045,59418222;5012,38494997;4990,81465556;4971,09902492;4959,88514328;4954,56463838;4940,07165308;4913,70788951;4882,77926689;4886,82044242;4883,86659397;4872,65216401;4881,58604335;4902,102906;4909,35912659;4908,26387718;4922,47657918;4924,73707796;4937,1820283;4928,4650207;4939,68726696;4948,67165235;4970,83107047
NORTE;124,175656154901;113,603275873339;128,354642022603;139,662599566281;127,585107058209;115,718756339306;112,410289718523;172,570401636042;144,036002933212;128,314907169329; ;128,660506838592;128,041370971465;126,023355579544;124,538024156208;122,370645727481;120,771948437817;118,823741373203;117,248419795496;115,799350170708;114,607160796826;113,225705845854;112,213944434183;111,290316503525;110,838033566778;109,904326532205;109,083475008322;106,608783786969;152,833040922384;150,985041843235;148,907675037619;146,923198434781;145,005158560456;143,334302043818;141,675264330143;139,515972911207;137,779974099065;135,982397236835;134,345127782441;132,596671377518;130,999319168676;129,261570528684;127,54235427739;125,975623275816;124,20914650118;122,5110642782;120,610784503255;118,969828625144;117,200502324747;115,818504303502;114,186154259276;112,527017862054;110,718502497169;109,094659144999;107,821109338073;106,502095591205;105,074237135035;103,596637141104;102,213114511745;187,33692714084;183,288700769399;179,847655058382;176,161509197672;172,576859195297;169,066100735301;165,323313595894;161,728672900346;154,774775903302;150,647456280651;147,050045711361;144,136877536732;140,312008255176;137,192940358734;134,137916486524;131,292601524946;128,227946322175;125,424173660867; ;NORTE;20114,4688657172;18401,9124710505;17103,9925301114;15601,6454510664;14252,4742582488;12926,8896186298;11724,9135969903;10332,6760949622;8624,17512048646;7682,87238927605; ;20840,94289644;20740,652795235;20413,76660008;20173,166682229;19822,086065667;19563,1226918915;19247,5443284782;18992,3674459116;18757,6413590552;18564,5257614772;18340,7521696062;18176,863014157;18027,2500720554;17953,9874750908;17802,7418794711;17669,7770703307;17268,9166999045;17072,9094624058;16866,4703261138;16634,4086254602;16412,7236470941;16198,4602854414;16011,8096642074;15826,479316075;15585,2658541432;15391,3382167184;15190,5317233361;15007,6330975434;14812,3138280971;14633,8743396426;14439,7512297447;14247,698364556;14072,6795572328;13875,3472404851;13685,6552479834;13473,3758589517;13290,0654244428;13092,4147884689;12938,0324183247;12755,6833376035;12570,3419655769;12368,3135370401;12186,914735018;12044,6470655514;11897,3006400401;11737,7952215768;11572,7331985628;11418,1805151399;11216,823803043;10974,4357025424;10768,4026260541;10547,6941450144;10333,0627421944;10122,8556054498;9898,75572020146;9683,52612327903;9267,16060180495;9020,03678221059;8804,64133872393;8630,21500099028;8401,2004363998;8214,44582502615;8031,52585824935;7861,16224080737;7677,66559681299;7509,78933020784

REE
Nome;DC201804-sem3;DC201804-sem4;DC201805-sem1;DC201805-sem2;DC201805-sem3;DC201805-sem4;DC201806-sem0;DC201806-sem1;DC201806-sem2;DC201806-sem3(3 dias); ;DC201804-sem3@14/04/2018;DC201804-sem3@15/04/2018;DC201804-sem3@16/04/2018;DC201804-sem3@17/04/2018;DC201804-sem3@18/04/2018;DC201804-sem3@19/04/2018;DC201804-sem3@20/04/2018;DC201804-sem4@21/04/2018;DC201804-sem4@22/04/2018;DC201804-sem4@23/04/2018;DC201804-sem4@24/04/2018;DC201804-sem4@25/04/2018;DC201804-sem4@26/04/2018;DC201804-sem4@27/04/2018;DC201805-sem1@28/04/2018;DC201805-sem1@29/04/2018;DC201805-sem1@30/04/2018;DC201805-sem1@01/05/2018;DC201805-sem1@02/05/2018;DC201805-sem1@03/05/2018;DC201805-sem1@04/05/2018;DC201805-sem2@05/05/2018;DC201805-sem2@06/05/2018;DC201805-sem2@07/05/2018;DC201805-sem2@08/05/2018;DC201805-sem2@09/05/2018;DC201805-sem2@10/05/2018;DC201805-sem2@11/05/2018;DC201805-sem3@12/05/2018;DC201805-sem3@13/05/2018;DC201805-sem3@14/05/2018;DC201805-sem3@15/05/2018;DC201805-sem3@16/05/2018;DC201805-sem3@17/05/2018;DC201805-sem3@18/05/2018;DC201805-sem4@19/05/2018;DC201805-sem4@20/05/2018;DC201805-sem4@21/05/2018;DC201805-sem4@22/05/2018;DC201805-sem4@23/05/2018;DC201805-sem4@24/05/2018;DC201805-sem4@25/05/2018;DC201806-sem0@26/05/2018;DC201806-sem0@27/05/2018;DC201806-sem0@28/05/2018;DC201806-sem0@29/05/2018;DC201806-sem0@30/05/2018;DC201806-sem0@31/05/2018;DC201806-sem0@01/06/2018;DC201806-sem1@02/06/2018;DC201806-sem1@03/06/2018;DC201806-sem1@04/06/2018;DC201806-sem1@05/06/2018;DC201806-sem1@06/06/2018;DC201806-sem1@07/06/2018;DC201806-sem1@08/06/2018;DC201806-sem2@09/06/2018;DC201806-sem2@10/06/2018;DC201806-sem2@11/06/2018;DC201806-sem2@12/06/2018;DC201806-sem2@13/06/2018;DC201806-sem2@14/06/2018;DC201806-sem2@15/06/2018;DC201806-sem3@16/06/2018;DC201806-sem3@17/06/2018;DC201806-sem3@18/06/2018; ;Nome;DC201804-sem3;DC201804-sem4;DC201805-sem1;DC201805-sem2;DC201805-sem3;DC201805-sem4;DC201806-sem0;DC201806-sem1;DC201806-sem2;DC201806-sem3(3 dias); ;DC201804-sem3@14/04/2018;DC201804-sem3@15/04/2018;DC201804-sem3@16/04/2018;DC201804-sem3@17/04/2018;DC201804-sem3@18/04/2018;DC201804-sem3@19/04/2018;DC201804-sem3@20/04/2018;DC201804-sem4@21/04/2018;DC201804-sem4@22/04/2018;DC201804-sem4@23/04/2018;DC201804-sem4@24/04/2018;DC201804-sem4@25/04/2018;DC201804-sem4@26/04/2018;DC201804-sem4@27/04/2018;DC201805-sem1@28/04/2018;DC201805-sem1@29/04/2018;DC201805-sem1@30/04/2018;DC201805-sem1@01/05/2018;DC201805-sem1@02/05/2018;DC201805-sem1@03/05/2018;DC201805-sem1@04/05/2018;DC201805-sem2@05/05/2018;DC201805-sem2@06/05/2018;DC201805-sem2@07/05/2018;DC201805-sem2@08/05/2018;DC201805-sem2@09/05/2018;DC201805-sem2@10/05/2018;DC201805-sem2@11/05/2018;DC201805-sem3@12/05/2018;DC201805-sem3@13/05/2018;DC201805-sem3@14/05/2018;DC201805-sem3@15/05/2018;DC201805-sem3@16/05/2018;DC201805-sem3@17/05/2018;DC201805-sem3@18/05/2018;DC201805-sem4@19/05/2018;DC201805-sem4@20/05/2018;DC201805-sem4@21/05/2018;DC201805-sem4@22/05/2018;DC201805-sem4@23/05/2018;DC201805-sem4@24/05/2018;DC201805-sem4@25/05/2018;DC201806-sem0@26/05/2018;DC201806-sem0@27/05/2018;DC201806-sem0@28/05/2018;DC201806-sem0@29/05/2018;DC201806-sem0@30/05/2018;DC201806-sem0@31/05/2018;DC201806-sem0@01/06/2018;DC201806-sem1@02/06/2018;DC201806-sem1@03/06/2018;DC201806-sem1@04/06/2018;DC201806-sem1@05/06/2018;DC201806-sem1@06/06/2018;DC201806-sem1@07/06/2018;DC201806-sem1@08/06/2018;DC201806-sem2@09/06/2018;DC201806-sem2@10/06/2018;DC201806-sem2@11/06/2018;DC201806-sem2@12/06/2018;DC201806-sem2@13/06/2018;DC201806-sem2@14/06/2018;DC201806-sem2@15/06/2018;DC201806-sem3@16/06/2018;DC201806-sem3@17/06/2018;DC201806-sem3@18/06/2018
SIN;86,687761112919;85,0785196673181;91,1617594825314;110,657834744712;97,3776038893363;87,844057557157;88,2782634105747;101,98195099066;100,196833308033;98,6814049593517; ;88,1969943062696;87,4769416012587;85,9564544761774;84,9524118499862;83,6699113361606;87,6655593318228;88,8957476050655;88,3738055121451;87,0760958689636;86,2776982376872;85,2827794748622;83,9355931261333;83,3880666714675;81,2157751229768;78,8861954510124;77,6389854016695;78,3673790779819;102,698805665687;101,951823110064;102,344350336039;106,556345674737;112,533655447612;115,516814285322;115,219306407028;112,902651497175;109,438611444267;106,119970219834;102,647355728159;99,9619105462936;98,5057169180623;98,013635612442;97,6349991473721;97,4892779558383;96,163756351321;93,8739864266347;92,1630753134752;90,5314055606797;88,1403096816629;86,741716155079;86,0934929712587;85,7398329241773;85,4986151036214;88,2267886407979;87,4954277631784;86,0357674818813;85,4963171798169;85,4195454424577;84,632851886554;103,622633544016;102,336874441896;102,12148191813;101,944060776384;102,213597467705;102,299235263227;101,289415923116;101,668835029978;99,6957822825572;97,5867543374002;101,08296971576;100,043922871477;100,550389162826;101,847689013364;100,570236489104;99,3956914886534;99,2333241810902;102,011255351823; ;SIN;74024,5002641192;72650,3351883856;66698,593021101;70815,3159114154;62316,652029463;56215,6733068365;54925,4038290672;52582,238221851;51661,8255181313;50880,4655454649; ;75313,266192383;74698,398061427;73400,022164447;72542,649074019;71447,494943775;74859,4627038484;75909,9463129354;75464,248995353;74356,1074700539;73674,338960768;72824,7569289332;71674,36620541;71206,8218638827;69351,8564772979;67362,5794579273;66297,560596652;66919,551258221;65721,9471510422;65243,9167813097;65495,1139927443;68190,574112811;72015,7445658841;73924,8126042545;73734,4228823147;72251,8830361534;70035,0757830342;67911,3162928276;65689,0218404388;63970,4752110443;63038,5862756671;62723,679579797;62481,371740037;62388,1176813681;61539,8521122121;60074,5172721152;58979,6222630608;57935,4376441057;56405,2594110172;55510,2315745771;55095,402117185;54869,077898777;54714,710915133;56460,6014916296;55992,5681913815;55058,4607765575;54713,2403622296;54664,1104036804;54160,6670386866;53428,1796853057;52765,2379515296;52654,180839111;52562,7018994528;52701,675927454;52745,8310639383;52225,1648030268;52420,7945754439;51403,4819178475;50316,0599892462;52118,7204415519;51582,9843808172;51844,1201104671;52513,0122930885;51854,3534589006;51248,7540914042;51165,0369594726;52597,3476493979
PARANA;63,327622238639;69,0732543428304;69,8096233957578;80,9564721853361;75,7798016054414;70,2354580433949;75,3613550316074;86,7292236612116;87,518320983817;87,8956370663693; ;60,7061100083709;58,1102090419435;59,3040986058456;61,8042844492492;62,451959732991;69,1239320245344;71,7929518997131;73,6553973707241;74,3710944276987;72,3793682626553;69,0457477292332;65,6486552788806;65,4340398003077;62,9782015766413;61,3161336122975;56,1959513520311;57,2632817933814;82,0525012204586;81,8971273267483;82,2468072911121;82,9566963649726;83,0611653658121;82,5412568253851;81,6940926484468;80,4681039727958;80,2199712913825;79,8670063975662;78,8443337022149;78,2008749502297;77,3394183013521;76,914796360415;75,2916091045118;74,73241653947;74,668818848877;73,3102891299751;72,7870081703363;72,0259625303836;70,9682925900032;69,8380222492233;69,2321713642582;68,7104473198965;68,0859738095395;72,9567578870595;73,0194524227462;73,5438164855616;73,9489469306711;74,2669070370594;73,7751912672313;88,3110819045799;87,8029481444093;87,2390964168141;86,5542398808742;86,0154289022985;85,8422219812332;85,6162866038959;88,0345378608525;87,7433455554626;87,3529175159211;87,1578408827766;86,9220681388313;87,1160267556746;88,1859196103153;88,1498941294027;88,2134301638102;87,5895164452837;87,8839045696358; ;PARANA;12179,9921379728;13285,0668491789;11080,8610075522;10809,8934005235;10118,6669225443;9378,34609008028;9808,29168309877;9530,4730028732;9617,18507537033;9658,64746355406; ;11675,788802595;11176,511358656;11406,135730895;11887,003997216;12011,573333393;13294,8138401902;13808,1544638641;14166,3642054021;14304,0163739024;13920,9416874756;13279,7764194183;12626,4034065908;12585,1257658189;12112,787010644;11793,1164778992;10808,3364171538;11013,619292536;10956,243120487;10935,4964750009;10982,1882716792;11076,9777926092;11090,9272488077;11021,505302071;10908,3858170164;10744,6829463713;10711,5504769979;10664,4200527923;10527,8654016081;10441,9461374797;10326,9182182514;10270,2196271055;10053,4799306766;9978,8124969892;9970,32047359351;9788,91976471439;9719,04750818537;9617,42719273995;9476,19945640436;9325,27758977913;9244,37999992255;9174,71563397625;9091,33141655438;9741,71371748295;9750,08514510664;9820,10202540156;9874,19797112056;9916,65430305914;9850,9968588584;9704,2997321621;9648,46209314355;9586,50173606182;9511,24444156427;9452,03575424767;9433,00244787828;9408,17493388463;9673,91094933217;9641,9125030414;9599,0092723501;9577,57275410179;9551,66423473396;9572,97789676696;9690,54593827222;9686,5871818259;9693,56900911626;9625,00857931504;9657,35820673087
