num_posto;dat_medicao;val_vaz_natr;val_vaz_incr;val_vaz_aflu;val_vaz_defl;val_cota
1;2018-06-12;42,06;42,06;44,00;44,00;911,31
1;2018-06-13;41,04;41,04;36,36;44,00;911,30
1;2018-06-14;40,51;40,51;43,00;43,00;911,30
1;2018-06-15;39,62;39,62;37,36;45,00;911,29
1;2018-06-16;39,29;39,29;36,36;44,00;911,28
1;2018-06-17;38,89;38,89;36,36;44,00;911,27
1;2018-06-18;39,39;39,39;37,36;45,00;911,26
1;2018-06-19;39,90;39,90;37,36;45,00;911,25
1;2018-06-20;39,93;39,93;36,36;44,00;911,24
1;2018-06-21;40,03;40,03;44,00;44,00;911,24
1;2018-06-22;39,17;39,17;36,36;44,00;911,23
1;2018-06-23;38,08;38,08;28,72;44,00;911,21
1;2018-06-24;36,91;36,91;36,36;44,00;911,20
1;2018-06-25;36,18;36,18;36,36;44,00;911,19
1;2018-06-26;35,74;35,74;28,72;44,00;911,17
1;2018-06-27;35,27;35,27;36,36;44,00;911,16
1;2018-06-28;34,71;34,71;28,72;44,00;911,14
1;2018-06-29;34,38;34,38;36,36;44,00;911,13
1;2018-06-30;33,87;33,87;28,72;44,00;911,11
1;2018-07-01;33,55;33,55;36,36;44,00;911,10
1;2018-07-02;33,37;33,37;28,72;44,00;911,08
1;2018-07-03;33,19;33,19;28,72;44,00;911,06
1;2018-07-04;33,13;33,13;37,36;45,00;911,05
1;2018-07-05;33,14;33,14;28,72;44,00;911,03
1;2018-07-06;33,08;33,08;34,72;50,00;911,01
1;2018-07-07;32,52;32,52;29,95;45,00;910,99
1;2018-07-08;32,38;32,38;30,19;45,00;910,97
1;2018-07-09;32,64;32,64;30,19;45,00;910,95
1;2018-07-10;32,33;32,33;30,19;45,00;910,93
1;2018-07-11;32,08;32,08;37,59;45,00;910,92
211;2018-06-12;101,82;59,51;100,94;97,00;807,97
211;2018-06-13;99,62;58,02;98,94;95,00;807,98
211;2018-06-14;97,54;56,74;98,19;110,00;807,95
211;2018-06-15;95,76;55,66;97,95;102,00;807,94
211;2018-06-16;94,20;54,74;97,06;101,00;807,93
211;2018-06-17;93,46;54,35;93,06;97,00;807,92
211;2018-06-18;93,27;54,15;95,92;84,00;807,95
211;2018-06-19;93,51;53,89;92,94;89,00;807,96
211;2018-06-20;93,88;53,97;96,00;96,00;807,96
211;2018-06-21;93,68;53,70;93,06;97,00;807,95
211;2018-06-22;92,89;53,26;95,87;88,00;807,97
211;2018-06-23;91,68;53,02;92,94;89,00;807,98
211;2018-06-24;89,86;52,32;93,06;97,00;807,97
211;2018-06-25;88,06;51,48;93,06;97,00;807,96
211;2018-06-26;86,84;50,86;90,06;94,00;807,95
211;2018-06-27;86,03;50,50;89,00;89,00;807,95
211;2018-06-28;84,17;49,15;89,94;86,00;807,96
211;2018-06-29;83,31;48,75;89,94;86,00;807,97
211;2018-06-30;82,02;47,87;89,94;86,00;807,98
211;2018-07-01;80,44;46,72;85,06;89,00;807,97
211;2018-07-02;80,18;46,71;88,21;108,00;807,92
211;2018-07-03;79,68;46,40;86,00;86,00;807,92
211;2018-07-04;79,76;46,60;86,00;86,00;807,92
211;2018-07-05;79,71;46,57;86,00;86,00;807,92
211;2018-07-06;79,13;46,01;90,87;83,00;807,94
211;2018-07-07;78,01;45,18;87,05;83,00;807,95
211;2018-07-08;76,80;44,34;88,94;85,00;807,96
211;2018-07-09;76,27;43,77;82,00;82,00;807,96
211;2018-07-10;76,06;43,56;83,94;80,00;807,97
211;2018-07-11;76,70;44,48;88,00;88,00;807,97
6;2018-06-12;258,50;154,49;227,59;185,00;758,12
6;2018-06-13;252,20;149,40;217,30;196,00;758,12
6;2018-06-14;246,88;146,16;211,81;297,00;758,11
6;2018-06-15;249,88;151,30;242,63;413,00;758,10
6;2018-06-16;256,50;159,85;234,00;234,00;758,10
6;2018-06-17;264,71;169,73;240,70;262,00;758,09
6;2018-06-18;270,89;177,06;251,59;209,00;758,10
6;2018-06-19;265,83;172,47;232,59;190,00;758,10
6;2018-06-20;256,22;162,84;212,30;191,00;758,10
6;2018-06-21;246,81;153,12;230,59;188,00;758,11
6;2018-06-22;239,21;145,43;222,00;222,00;758,11
6;2018-06-23;235,16;141,87;184,70;206,00;758,11
6;2018-06-24;231,77;139,48;206,70;228,00;758,10
6;2018-06-25;228,66;137,89;188,00;188,00;758,10
6;2018-06-26;223,89;134,93;213,30;192,00;758,11
6;2018-06-27;219,94;132,49;209,22;337,00;758,09
6;2018-06-28;217,76;131,33;180,70;202,00;758,09
6;2018-06-29;214,90;129,81;196,41;239,00;758,09
6;2018-06-30;211,46;127,72;188,00;188,00;758,09
6;2018-07-01;207,19;124,53;175,41;218,00;758,08
6;2018-07-02;203,56;122,33;179,41;222,00;758,08
6;2018-07-03;200,63;120,32;203,11;267,00;758,07
6;2018-07-04;199,86;119,93;170,11;234,00;758,07
6;2018-07-05;197,87;118,14;192,41;235,00;758,06
6;2018-07-06;196,96;117,23;166,93;316,00;758,05
6;2018-07-07;195,27;115,85;156,52;263,00;758,04
6;2018-07-08;193,33;114,76;192,41;235,00;758,04
6;2018-07-09;192,07;114,66;174,41;217,00;758,03
6;2018-07-10;189,47;112,93;173,74;408,00;758,01
6;2018-07-11;190,12;113,95;150,82;358,00;757,99
7;2018-06-12;307,31;47,63;196,33;238,00;657,69
7;2018-06-13;305,13;46,89;253,33;170,00;657,73
7;2018-06-14;297,57;45,60;266,00;391,00;657,67
7;2018-06-15;291,85;44,85;457,67;166,00;657,81
7;2018-06-16;296,94;46,79;272,50;210,00;657,84
7;2018-06-17;304,48;47,63;274,00;274,00;657,84
7;2018-06-18;311,85;46,89;207,00;207,00;657,84
7;2018-06-19;316,42;45,75;259,67;218,00;657,86
