;dat_medicao;num_posto;val_vaz_natr
0;2018-06-12;119;22,69
1;2018-06-12;292;39,83
2;2018-06-13;119;23,76
3;2018-06-13;292;39,83
4;2018-06-14;119;24,18
5;2018-06-14;292;39,83
6;2018-06-15;119;26,10
7;2018-06-15;292;39,83
8;2018-06-16;119;23,06
9;2018-06-16;292;39,83
10;2018-06-17;119;22,40
11;2018-06-17;292;39,83
12;2018-06-18;119;21,51
13;2018-06-18;292;39,83
14;2018-06-19;119;21,49
15;2018-06-19;292;39,83
16;2018-06-20;119;19,96
17;2018-06-20;292;39,83
18;2018-06-21;119;19,29
19;2018-06-21;292;39,83
20;2018-06-22;119;18,85
21;2018-06-22;292;39,83
22;2018-06-23;119;18,83
23;2018-06-23;292;39,83
24;2018-06-24;119;18,43
25;2018-06-24;292;39,83
26;2018-06-25;119;18,43
27;2018-06-25;292;39,83
28;2018-06-26;119;18,29
29;2018-06-26;292;39,83
30;2018-06-27;119;18,26
31;2018-06-27;292;39,83
32;2018-06-28;119;18,12
33;2018-06-28;292;39,83
34;2018-06-29;119;18,05
35;2018-06-29;292;39,83
36;2018-06-30;119;18,00
37;2018-06-30;292;39,83
38;2018-07-01;119;15,85
39;2018-07-01;292;28,77
40;2018-07-02;119;15,81
41;2018-07-02;292;28,77
42;2018-07-03;119;16,08
43;2018-07-03;292;28,77
44;2018-07-04;119;16,26
45;2018-07-04;292;28,77
46;2018-07-05;119;16,44
47;2018-07-05;292;28,77
48;2018-07-06;119;16,62
49;2018-07-06;292;28,77
50;2018-07-07;119;16,39
51;2018-07-07;292;28,77
52;2018-07-08;119;15,97
53;2018-07-08;292;28,77
54;2018-07-09;119;15,54
55;2018-07-09;292;28,77
56;2018-07-10;119;15,18
57;2018-07-10;292;28,77
58;2018-07-11;119;14,91
59;2018-07-11;292;28,77
60;2018-06-12;123;101,06
61;2018-06-13;123;99,46
62;2018-06-14;123;98,24
63;2018-06-15;123;100,63
64;2018-06-16;123;101,74
65;2018-06-17;123;100,60
66;2018-06-18;123;99,01
67;2018-06-19;123;97,82
68;2018-06-20;123;96,33
69;2018-06-21;123;94,51
70;2018-06-22;123;91,59
71;2018-06-23;123;91,78
72;2018-06-24;123;92,25
73;2018-06-25;123;91,33
74;2018-06-26;123;89,57
75;2018-06-27;123;88,27
76;2018-06-28;123;86,72
77;2018-06-29;123;85,29
78;2018-06-30;123;85,67
79;2018-07-01;123;85,25
80;2018-07-02;123;84,84
81;2018-07-03;123;81,88
82;2018-07-04;123;80,52
83;2018-07-05;123;80,65
84;2018-07-06;123;79,29
85;2018-07-07;123;78,41
86;2018-07-08;123;75,38
87;2018-07-09;123;74,96
88;2018-07-10;123;72,87
89;2018-07-11;123;71,27
90;2018-06-12;292;3931,72
91;2018-06-13;292;3821,92
92;2018-06-14;292;3676,17
93;2018-06-15;292;3556,30
94;2018-06-16;292;3425,16
95;2018-06-17;292;3272,89
96;2018-06-18;292;3126,55
97;2018-06-19;292;2940,16
98;2018-06-20;292;2795,36
99;2018-06-21;292;2695,03
100;2018-06-22;292;2543,74
101;2018-06-23;292;2480,25
102;2018-06-24;292;2251,80
103;2018-06-25;292;2055,49
104;2018-06-26;292;1852,79
105;2018-06-27;292;1779,87
106;2018-06-28;292;1677,28
107;2018-06-29;292;1560,02
108;2018-06-30;292;1443,62
109;2018-07-01;292;2132,36
110;2018-07-02;292;2039,52
111;2018-07-03;292;1903,69
112;2018-07-04;292;1811,71
113;2018-07-05;292;1707,88
114;2018-07-06;292;1635,40
115;2018-07-07;292;1624,53
116;2018-07-08;292;1553,10
117;2018-07-09;292;1542,86
118;2018-07-10;292;1369,31
119;2018-07-11;292;1338,78
